"age","insured_sex","policy_state","policy_csl","incident_type","incident_severity","collision_type","authorities_contacted","total_claim_amount","fraud_reported","haute_reclamation","jeune_conducteur","prob_reclam"
41,"MALE","OH","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Fire",58300,"N",1,0,0.27930174563591
34,"FEMALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Front Collision","Other",68400,"N",1,0,0.27930174563591
32,"FEMALE","IL","500/1000","Single Vehicle Collision","Total Loss","Side Collision","Fire",64240,"N",1,0,0.283018867924528
25,"FEMALE","IN","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Other",45120,"Y",1,0,0.27930174563591
29,"FEMALE","OH","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Fire",66950,"N",1,0,0.27930174563591
43,"FEMALE","IN","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Ambulance",70680,"N",1,0,0.27930174563591
47,"FEMALE","IN","500/1000","Single Vehicle Collision","Major Damage","Side Collision","Fire",72930,"Y",1,0,0.283018867924528
25,"MALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Other",64890,"Y",1,0,0.27930174563591
41,"FEMALE","IN","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Police",79300,"N",1,0,0.283018867924528
27,"FEMALE","IL","100/300","Single Vehicle Collision","Major Damage","Side Collision","Police",52800,"N",1,0,0.283018867924528
41,"FEMALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Front Collision","Fire",28800,"N",1,0,0.27930174563591
61,"FEMALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Rear Collision","Police",79800,"Y",1,0,0.27930174563591
28,"FEMALE","IN","500/1000","Multi-vehicle Collision","Major Damage","Front Collision","Ambulance",74200,"N",1,0,0.27930174563591
47,"FEMALE","IL","500/1000","Single Vehicle Collision","Major Damage","Front Collision","Fire",70590,"Y",1,0,0.283018867924528
31,"FEMALE","IN","500/1000","Multi-vehicle Collision","Major Damage","Rear Collision","Fire",60940,"Y",1,0,0.27930174563591
42,"FEMALE","OH","250/500","Single Vehicle Collision","Minor Damage","Rear Collision","Police",74700,"N",1,0,0.283018867924528
60,"MALE","IN","100/300","Single Vehicle Collision","Major Damage","Front Collision","Fire",70000,"Y",1,0,0.283018867924528
41,"MALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Rear Collision","Other",81070,"N",1,0,0.27930174563591
32,"MALE","IN","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Other",57720,"N",1,0,0.27930174563591
46,"MALE","IN","100/300","Multi-vehicle Collision","Total Loss","Side Collision","Other",47700,"Y",1,0,0.27930174563591
31,"FEMALE","IL","500/1000","Single Vehicle Collision","Minor Damage","Rear Collision","Police",51260,"N",1,0,0.283018867924528
41,"MALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Police",70400,"Y",1,0,0.27930174563591
39,"FEMALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",72820,"N",1,0,0.27930174563591
41,"MALE","IL","500/1000","Single Vehicle Collision","Minor Damage","Side Collision","Fire",69300,"N",1,0,0.283018867924528
36,"FEMALE","IL","500/1000","Single Vehicle Collision","Major Damage","Front Collision","Ambulance",76560,"Y",1,0,0.283018867924528
38,"FEMALE","IL","250/500","Single Vehicle Collision","Major Damage","Front Collision","Ambulance",55440,"Y",1,0,0.283018867924528
25,"FEMALE","OH","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Other",77130,"N",1,0,0.27930174563591
35,"FEMALE","IL","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Ambulance",42000,"N",1,0,0.283018867924528
39,"MALE","IN","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Ambulance",36300,"N",1,0,0.27930174563591
38,"MALE","IL","100/300","Single Vehicle Collision","Total Loss","Side Collision","Other",40320,"N",1,0,0.283018867924528
43,"MALE","OH","100/300","Single Vehicle Collision","Major Damage","Front Collision","Fire",63840,"Y",1,0,0.283018867924528
28,"FEMALE","IL","250/500","Multi-vehicle Collision","Major Damage","Front Collision","Fire",44730,"Y",1,0,0.27930174563591
45,"MALE","IN","250/500","Multi-vehicle Collision","Minor Damage","Front Collision","Other",84720,"N",1,0,0.27930174563591
39,"MALE","IN","250/500","Multi-vehicle Collision","Major Damage","Front Collision","Other",61500,"N",1,0,0.27930174563591
27,"FEMALE","OH","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Ambulance",51000,"N",1,0,0.27930174563591
33,"FEMALE","IL","500/1000","Single Vehicle Collision","Total Loss","Side Collision","Police",46800,"N",1,0,0.283018867924528
32,"MALE","OH","250/500","Single Vehicle Collision","Minor Damage","Side Collision","Ambulance",78120,"N",1,0,0.283018867924528
34,"FEMALE","IN","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Police",69200,"Y",1,0,0.283018867924528
28,"FEMALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Fire",65500,"N",1,0,0.27930174563591
46,"FEMALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Rear Collision","Fire",76120,"N",1,0,0.27930174563591
32,"FEMALE","IL","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Other",73560,"N",1,0,0.27930174563591
35,"MALE","OH","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Police",52030,"N",1,0,0.283018867924528
29,"MALE","IN","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Ambulance",70800,"Y",1,0,0.283018867924528
31,"FEMALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Rear Collision","Police",45630,"N",1,0,0.27930174563591
41,"MALE","IL","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Fire",64000,"Y",1,0,0.27930174563591
38,"FEMALE","OH","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Fire",47300,"N",1,0,0.283018867924528
27,"MALE","IL","100/300","Single Vehicle Collision","Major Damage","Rear Collision","Other",71680,"Y",1,0,0.283018867924528
32,"FEMALE","OH","100/300","Single Vehicle Collision","Total Loss","Side Collision","Other",82720,"N",1,0,0.283018867924528
45,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Fire",48060,"N",1,0,0.27930174563591
32,"MALE","IN","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Police",63570,"Y",1,0,0.27930174563591
54,"FEMALE","OH","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Fire",63240,"N",1,0,0.27930174563591
33,"FEMALE","OH","100/300","Multi-vehicle Collision","Minor Damage","Rear Collision","Ambulance",54240,"Y",1,0,0.27930174563591
50,"MALE","OH","100/300","Single Vehicle Collision","Major Damage","Front Collision","Police",37280,"Y",1,0,0.283018867924528
61,"MALE","OH","100/300","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",72100,"N",1,0,0.27930174563591
38,"MALE","IN","100/300","Multi-vehicle Collision","Total Loss","Front Collision","Ambulance",78240,"N",1,0,0.27930174563591
48,"FEMALE","IN","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Ambulance",76050,"N",1,0,0.283018867924528
48,"FEMALE","OH","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Ambulance",86060,"N",1,0,0.27930174563591
29,"FEMALE","IN","500/1000","Multi-vehicle Collision","Minor Damage","Side Collision","Ambulance",61380,"N",1,0,0.27930174563591
28,"FEMALE","OH","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Fire",71280,"Y",1,0,0.283018867924528
45,"MALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Front Collision","Ambulance",64000,"N",1,0,0.27930174563591
42,"MALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",51740,"N",1,0,0.27930174563591
28,"MALE","OH","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Ambulance",53600,"Y",1,0,0.283018867924528
29,"MALE","IL","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Other",44910,"N",1,0,0.27930174563591
31,"FEMALE","IN","250/500","Multi-vehicle Collision","Major Damage","Front Collision","Fire",48100,"N",1,0,0.27930174563591
46,"MALE","IN","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Other",79600,"N",1,0,0.283018867924528
34,"MALE","IN","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Ambulance",77040,"N",1,0,0.283018867924528
45,"FEMALE","IL","250/500","Single Vehicle Collision","Minor Damage","Rear Collision","Fire",62590,"N",1,0,0.283018867924528
40,"FEMALE","IN","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Other",85150,"N",1,0,0.283018867924528
36,"MALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Fire",51100,"N",1,0,0.27930174563591
26,"MALE","OH","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Police",81840,"Y",1,0,0.283018867924528
46,"MALE","OH","100/300","Single Vehicle Collision","Major Damage","Front Collision","Ambulance",54900,"N",1,0,0.283018867924528
34,"FEMALE","IL","100/300","Multi-vehicle Collision","Total Loss","Front Collision","Ambulance",18000,"N",1,0,0.27930174563591
25,"FEMALE","IN","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Other",73920,"Y",1,0,0.27930174563591
39,"MALE","IN","250/500","Single Vehicle Collision","Minor Damage","Side Collision","Police",50490,"N",1,0,0.283018867924528
47,"FEMALE","OH","100/300","Single Vehicle Collision","Total Loss","Front Collision","Police",55500,"N",1,0,0.283018867924528
26,"MALE","IL","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Other",40160,"N",1,0,0.27930174563591
44,"MALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Fire",55680,"N",1,0,0.27930174563591
48,"MALE","IL","250/500","Single Vehicle Collision","Major Damage","Front Collision","Ambulance",59400,"N",1,0,0.283018867924528
49,"MALE","OH","250/500","Single Vehicle Collision","Minor Damage","Rear Collision","Fire",76700,"N",1,0,0.283018867924528
62,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Fire",64350,"N",1,0,0.27930174563591
39,"MALE","IL","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Ambulance",19080,"N",1,0,0.27930174563591
43,"FEMALE","OH","500/1000","Single Vehicle Collision","Minor Damage","Rear Collision","Police",54400,"N",1,0,0.283018867924528
32,"FEMALE","OH","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Fire",59800,"Y",1,0,0.283018867924528
29,"MALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Police",72000,"N",1,0,0.27930174563591
48,"MALE","IN","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Police",65070,"N",1,0,0.27930174563591
50,"MALE","OH","100/300","Multi-vehicle Collision","Minor Damage","Side Collision","Ambulance",34320,"N",1,0,0.27930174563591
40,"FEMALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Other",53460,"Y",1,0,0.27930174563591
33,"FEMALE","IN","100/300","Single Vehicle Collision","Total Loss","Side Collision","Other",81360,"Y",1,0,0.283018867924528
43,"MALE","OH","100/300","Multi-vehicle Collision","Minor Damage","Side Collision","Ambulance",81070,"Y",1,0,0.27930174563591
26,"FEMALE","IL","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Fire",63120,"N",1,0,0.283018867924528
46,"FEMALE","IL","500/1000","Single Vehicle Collision","Total Loss","Rear Collision","Other",70290,"Y",1,0,0.283018867924528
43,"MALE","OH","100/300","Multi-vehicle Collision","Minor Damage","Side Collision","Fire",60190,"N",1,0,0.27930174563591
44,"MALE","OH","250/500","Single Vehicle Collision","Major Damage","Front Collision","Other",61380,"Y",1,0,0.283018867924528
49,"FEMALE","OH","250/500","Single Vehicle Collision","Minor Damage","Front Collision","Ambulance",28100,"N",1,0,0.283018867924528
50,"FEMALE","IL","500/1000","Single Vehicle Collision","Total Loss","Side Collision","Fire",49060,"N",1,0,0.283018867924528
50,"MALE","IL","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Fire",57060,"N",1,0,0.27930174563591
38,"FEMALE","IN","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Fire",77880,"N",1,0,0.27930174563591
41,"MALE","IN","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Ambulance",73500,"N",1,0,0.283018867924528
52,"FEMALE","IL","500/1000","Single Vehicle Collision","Major Damage","Front Collision","Other",47630,"Y",1,0,0.283018867924528
53,"FEMALE","IL","100/300","Multi-vehicle Collision","Total Loss","Front Collision","Fire",59040,"N",1,0,0.27930174563591
37,"FEMALE","IL","250/500","Single Vehicle Collision","Minor Damage","Rear Collision","Other",79530,"N",1,0,0.283018867924528
34,"FEMALE","OH","100/300","Single Vehicle Collision","Total Loss","Side Collision","Other",53680,"N",1,0,0.283018867924528
46,"MALE","OH","500/1000","Single Vehicle Collision","Minor Damage","Side Collision","Police",33550,"N",1,0,0.283018867924528
42,"FEMALE","IN","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Other",69100,"N",1,0,0.27930174563591
35,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Police",79750,"N",1,0,0.27930174563591
28,"MALE","IN","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Other",53600,"Y",1,0,0.27930174563591
54,"MALE","IN","100/300","Multi-vehicle Collision","Minor Damage","Side Collision","Fire",76560,"N",1,0,0.27930174563591
32,"MALE","IN","100/300","Single Vehicle Collision","Total Loss","Front Collision","Fire",41130,"N",1,0,0.283018867924528
26,"MALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Rear Collision","Fire",78650,"Y",1,0,0.27930174563591
41,"FEMALE","OH","500/1000","Single Vehicle Collision","Major Damage","Side Collision","Other",71060,"N",1,0,0.283018867924528
37,"FEMALE","IN","500/1000","Single Vehicle Collision","Minor Damage","Front Collision","Fire",38830,"N",1,0,0.283018867924528
43,"FEMALE","IL","250/500","Single Vehicle Collision","Major Damage","Front Collision","Fire",53500,"N",1,0,0.283018867924528
38,"FEMALE","IL","100/300","Single Vehicle Collision","Major Damage","Front Collision","Other",73700,"Y",1,0,0.283018867924528
36,"FEMALE","IL","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Ambulance",65400,"N",1,0,0.27930174563591
51,"FEMALE","IN","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Fire",75400,"Y",1,0,0.283018867924528
28,"FEMALE","IL","250/500","Single Vehicle Collision","Minor Damage","Side Collision","Fire",58140,"N",1,0,0.283018867924528
30,"FEMALE","IN","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Fire",64100,"N",1,0,0.283018867924528
28,"FEMALE","OH","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Fire",55440,"Y",1,0,0.27930174563591
27,"MALE","OH","250/500","Multi-vehicle Collision","Major Damage","Side Collision","Police",80850,"Y",1,0,0.27930174563591
61,"MALE","OH","250/500","Single Vehicle Collision","Major Damage","Side Collision","Fire",53640,"Y",1,0,0.283018867924528
23,"FEMALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Rear Collision","Fire",63250,"Y",1,1,0.27930174563591
57,"FEMALE","IL","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Ambulance",59040,"N",1,0,0.27930174563591
36,"MALE","IL","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Other",50500,"N",1,0,0.27930174563591
43,"MALE","OH","500/1000","Single Vehicle Collision","Major Damage","Side Collision","Police",57690,"Y",1,0,0.283018867924528
30,"FEMALE","OH","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Fire",47790,"Y",1,0,0.27930174563591
31,"MALE","IL","100/300","Single Vehicle Collision","Major Damage","Front Collision","Police",59000,"Y",1,0,0.283018867924528
43,"MALE","OH","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Ambulance",70600,"Y",1,0,0.27930174563591
40,"MALE","IN","500/1000","Multi-vehicle Collision","Minor Damage","Side Collision","Police",61490,"N",1,0,0.27930174563591
30,"FEMALE","IL","500/1000","Single Vehicle Collision","Minor Damage","Side Collision","Police",57640,"N",1,0,0.283018867924528
45,"MALE","IL","250/500","Multi-vehicle Collision","Major Damage","Side Collision","Fire",53280,"Y",1,0,0.27930174563591
29,"FEMALE","IN","500/1000","Multi-vehicle Collision","Minor Damage","Rear Collision","Fire",78300,"N",1,0,0.27930174563591
37,"MALE","OH","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Ambulance",41490,"N",1,0,0.27930174563591
36,"FEMALE","IN","100/300","Multi-vehicle Collision","Total Loss","Front Collision","Fire",68970,"N",1,0,0.27930174563591
55,"MALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",85300,"N",1,0,0.27930174563591
47,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Police",71760,"Y",1,0,0.27930174563591
26,"FEMALE","OH","100/300","Multi-vehicle Collision","Minor Damage","Rear Collision","Ambulance",59700,"N",1,0,0.27930174563591
39,"FEMALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Front Collision","Fire",64920,"N",1,0,0.27930174563591
43,"FEMALE","IN","500/1000","Multi-vehicle Collision","Major Damage","Front Collision","Ambulance",37530,"N",1,0,0.27930174563591
42,"MALE","IN","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Ambulance",64080,"N",1,0,0.27930174563591
41,"MALE","OH","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Other",60390,"Y",1,0,0.283018867924528
33,"FEMALE","IL","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Police",64350,"Y",1,0,0.27930174563591
38,"FEMALE","IL","100/300","Multi-vehicle Collision","Minor Damage","Side Collision","Police",70900,"N",1,0,0.27930174563591
39,"FEMALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Fire",46560,"N",1,0,0.27930174563591
58,"MALE","OH","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Police",59900,"Y",1,0,0.283018867924528
36,"FEMALE","OH","250/500","Multi-vehicle Collision","Major Damage","Side Collision","Police",79560,"N",1,0,0.27930174563591
33,"FEMALE","IL","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Other",70290,"N",1,0,0.283018867924528
31,"MALE","IN","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Ambulance",63910,"N",1,0,0.27930174563591
25,"FEMALE","IN","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Ambulance",66780,"Y",1,0,0.283018867924528
40,"MALE","IL","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Ambulance",51570,"N",1,0,0.27930174563591
31,"FEMALE","IL","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Fire",52700,"Y",1,0,0.27930174563591
37,"MALE","IN","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",53400,"Y",1,0,0.27930174563591
31,"FEMALE","IN","250/500","Single Vehicle Collision","Total Loss","Side Collision","Fire",72120,"N",1,0,0.283018867924528
43,"MALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Front Collision","Police",77100,"N",1,0,0.27930174563591
27,"MALE","IN","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Other",63720,"N",1,0,0.27930174563591
44,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Police",87300,"N",1,0,0.27930174563591
47,"MALE","IN","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Other",65800,"N",1,0,0.27930174563591
34,"FEMALE","OH","100/300","Single Vehicle Collision","Major Damage","Front Collision","Other",36720,"Y",1,0,0.283018867924528
29,"FEMALE","IL","250/500","Single Vehicle Collision","Major Damage","Side Collision","Fire",52800,"Y",1,0,0.283018867924528
37,"FEMALE","IN","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Fire",59100,"Y",1,0,0.27930174563591
37,"MALE","OH","500/1000","Multi-vehicle Collision","Total Loss","Rear Collision","Other",77440,"N",1,0,0.27930174563591
